cust_id,acc_name,billin_city,billin_address_line1,billin_state,ship_state,ship_address_line1,ship_city,interest
2,shubham,kaliyabid,rajkot,rajasthan,punjab,bokhira,jamnagar,
5,dhaval,chaaya,jamnagar,rajasthan,delhi,shyamal,jamnagar,
9,vishal,bokhira,surat,rajasthan,karnatak,bokhira,ahmedabad,
11,vishal,kaliyabid,rajkot,gujarat,karnatak,shyamal,ahmedabad,
17,nishil,kaliyabid,ahmedabad,gujarat,rajasthan,shyamal,ahmedabad,
19,nishil,chaaya,rajkot,maharastra,delhi,kaliyabid,rajkot,
20,dhaval,shyamal,ahmedabad,maharastra,delhi,shyamal,surat,
24,vishal,shyamal,rajkot,gujarat,rajasthan,bokhira,surat,
32,nishil,bokhira,rajkot,maharastra,rajasthan,sagwadi,jamnagar,
36,nishil,kaliyabid,ahmedabad,gujarat,punjab,sagwadi,jamnagar,
46,vishal,kaliyabid,jamnagar,punjab,rajasthan,kaliyabid,rajkot,
48,dhaval,shyamal,ahmedabad,gujarat,rajasthan,sagwadi,surat,
53,vishal,shyamal,rajkot,rajasthan,punjab,sagwadi,surat,
56,vishal,chaaya,surat,punjab,karnatak,sagwadi,surat,
60,vishal,shyamal,rajkot,punjab,punjab,bokhira,rajkot,
69,nishil,bokhira,ahmedabad,gujarat,punjab,sagwadi,ahmedabad,
75,vishal,shyamal,ahmedabad,rajasthan,rajasthan,shyamal,ahmedabad,
76,nishil,shyamal,surat,gujarat,delhi,kaliyabid,surat,
81,nishil,kaliyabid,surat,gujarat,delhi,kaliyabid,rajkot,
82,dhaval,bokhira,ahmedabad,maharastra,punjab,bokhira,surat,
83,dhaval,shyamal,jamnagar,maharastra,rajasthan,bokhira,rajkot,
85,vishal,kaliyabid,rajkot,maharastra,delhi,kaliyabid,jamnagar,
95,dhaval,bokhira,surat,rajasthan,punjab,sagwadi,ahmedabad,
99,nishil,chaaya,jamnagar,gujarat,delhi,bokhira,rajkot,
100,nishil,bokhira,surat,rajasthan,rajasthan,sagwadi,ahmedabad,
