cust_id,acc_name,billin_city,billin_address_line1,billin_state,ship_state,ship_address_line1,ship_city,interest
2,shubham,kaliyabid,surat,punjab,delhi,bokhira,jamnagar,
22,nishil,kaliyabid,rajkot,gujarat,punjab,shyamal,jamnagar,
26,dhaval,bokhira,rajkot,rajasthan,karnatak,kaliyabid,ahmedabad,
28,shubham,kaliyabid,ahmedabad,rajasthan,rajasthan,kaliyabid,rajkot,
29,vishal,chaaya,surat,maharastra,delhi,shyamal,surat,
33,shubham,kaliyabid,surat,rajasthan,punjab,shyamal,surat,
42,vishal,bokhira,surat,maharastra,delhi,bokhira,rajkot,
43,dhaval,chaaya,rajkot,maharastra,karnatak,shyamal,rajkot,
45,vishal,bokhira,rajkot,gujarat,rajasthan,shyamal,jamnagar,
46,vishal,shyamal,surat,gujarat,rajasthan,shyamal,ahmedabad,
48,shubham,shyamal,rajkot,gujarat,punjab,bokhira,rajkot,
49,shubham,shyamal,surat,rajasthan,rajasthan,kaliyabid,jamnagar,
51,shubham,kaliyabid,jamnagar,rajasthan,karnatak,shyamal,jamnagar,
59,vishal,bokhira,rajkot,rajasthan,punjab,shyamal,surat,
61,shubham,chaaya,ahmedabad,rajasthan,karnatak,shyamal,jamnagar,
66,nishil,chaaya,rajkot,rajasthan,karnatak,bokhira,surat,
67,vishal,kaliyabid,jamnagar,rajasthan,rajasthan,shyamal,rajkot,
68,dhaval,shyamal,surat,maharastra,delhi,kaliyabid,jamnagar,
71,dhaval,shyamal,jamnagar,punjab,delhi,kaliyabid,surat,
76,shubham,chaaya,jamnagar,gujarat,delhi,sagwadi,surat,
79,vishal,kaliyabid,ahmedabad,punjab,rajasthan,kaliyabid,ahmedabad,
83,shubham,chaaya,surat,gujarat,delhi,sagwadi,surat,
90,vishal,chaaya,jamnagar,gujarat,rajasthan,shyamal,surat,
95,nishil,chaaya,ahmedabad,gujarat,karnatak,shyamal,rajkot,
96,dhaval,shyamal,surat,gujarat,delhi,sagwadi,rajkot,
