cust_id,acc_name,billin_city,billin_address_line1,billin_state,ship_state,ship_address_line1,ship_city,interest
1,vishal,shyamal,rajkot,maharastra,punjab,shyamal,surat,
4,dhaval,bokhira,rajkot,gujarat,rajasthan,kaliyabid,rajkot,
5,vishal,bokhira,surat,maharastra,karnatak,kaliyabid,ahmedabad,
11,vishal,kaliyabid,rajkot,punjab,delhi,bokhira,surat,
12,nishil,chaaya,ahmedabad,maharastra,karnatak,sagwadi,jamnagar,
13,vishal,kaliyabid,jamnagar,rajasthan,delhi,shyamal,rajkot,
31,nishil,shyamal,jamnagar,maharastra,punjab,kaliyabid,rajkot,
33,vishal,shyamal,ahmedabad,gujarat,delhi,kaliyabid,ahmedabad,
34,vishal,bokhira,jamnagar,maharastra,delhi,shyamal,jamnagar,
36,nishil,kaliyabid,jamnagar,gujarat,punjab,sagwadi,rajkot,
40,shubham,bokhira,ahmedabad,rajasthan,punjab,bokhira,jamnagar,
41,vishal,bokhira,jamnagar,punjab,rajasthan,kaliyabid,ahmedabad,
50,vishal,bokhira,ahmedabad,maharastra,punjab,shyamal,jamnagar,
52,dhaval,bokhira,surat,punjab,punjab,kaliyabid,ahmedabad,
60,shubham,shyamal,ahmedabad,punjab,karnatak,shyamal,surat,
66,dhaval,kaliyabid,jamnagar,rajasthan,punjab,kaliyabid,rajkot,
70,nishil,bokhira,jamnagar,gujarat,rajasthan,sagwadi,rajkot,
78,nishil,shyamal,rajkot,gujarat,punjab,shyamal,ahmedabad,
79,shubham,shyamal,surat,gujarat,karnatak,sagwadi,surat,
80,nishil,bokhira,surat,maharastra,punjab,bokhira,rajkot,
82,dhaval,bokhira,rajkot,maharastra,karnatak,sagwadi,surat,
93,vishal,kaliyabid,jamnagar,punjab,punjab,sagwadi,rajkot,
